orig,corr,agree,total agree,,Input.orig,Agree?,Total
Utterson is really worried about Jekyll so he decided to visit Jekyll but he is not at home and at this moment Poole tells to the lawyer that Hyde has a key for the lavatory and that the servants had to obey to Hyde.,Utterson is really worried about Jekyll so he decided to visit Jekyll but he is not at home and at this moment Poole tells the lawyer that Hyde has a key for the lavatory and that the servants had to obey Hyde.,0,0,,Utterson is really worried about Jekyll so he decided to visit Jekyll but he is not at home and at this moment Poole tells to the lawyer that Hyde has a key for the lavatory and that the servants had to obey to Hyde.,0,0
"My English teachers in primary school or even in senior high didn't spend much time teaching us pronunciation.(Actually they simply reckon grammar the most important part in English learning, while I don't think so)","My English teachers in primary school or even in high school didn't spend much time teaching us pronunciation.( they  thought that grammar is the most important part of English learning, while I don't think so)",0,1,,"My English teachers in primary school or even in senior high didn't spend much time teaching us pronunciation.(Actually they simply reckon grammar the most important part in English learning, while I don't think so)",0,1
"Compared to working hard to learn a language that I probably won't get any chance to use in the future, I prefer to playing games, which can give me a sense of excitement in a comparatively short time.","Compared to working hard to learn a language that I probably won't get any chance to use in the future, I prefer playing games, which can give me a sense of excitement in a comparatively shorter amount of time.",1,3,,"Compared to working hard to learn a language that I probably won't get any chance to use in the future, I prefer to playing games, which can give me a sense of excitement in a comparatively short time.",1,3
"For ordinary customers, it is not easy to discern between a cold and the flu, therefore it is better to suggest drugs consisted of only acetaminophen or crude medicine materials especially during the flu season.","For ordinary customers, it is not easy to tell the difference between a cold and the flu, so it is better to suggest drugs consisting only of acetaminophen or natural remedies, especially during the flu season.",1,3,,"For ordinary customers, it is not easy to discern between a cold and the flu, therefore it is better to suggest drugs consisted of only acetaminophen or crude medicine materials especially during the flu season.",1,3
"AS you know, I am currently discussing job applications with our university employment center staff but I wanted to ask if I could schedule an appointment to hear about the music industry and your take on it.","As you know, I am currently discussing job applications with our university employment center staff, but I wanted to ask if I could schedule an appointment to hear about the music industry and your take on it.",1,3,,"AS you know, I am currently discussing job applications with our university employment center staff but I wanted to ask if I could schedule an appointment to hear about the music industry and your take on it.",1,3
"In conclusion, I think that long-term traffic and pollution reductions would depend on education the public to use public transport more, and on governments using public money to construct and run efficient system.","In conclusion, I think that long-term traffic and pollution reduction  depends on educating the public to use public transport more and on governments using public money to construct and run efficient systems.",1,3,,"In conclusion, I think that long-term traffic and pollution reductions would depend on education the public to use public transport more, and on governments using public money to construct and run efficient system.",1,3
And the fact that the queen herself remains tight-lipped when the song is sung shows clearly to me that it is really a song to be sung in honour of the majesty rather than for those that make up Great Britain.,And the fact that the Queen herself remains tight-lipped when the song is sung shows clearly to me that it is really a song to be sung in honour of the majesty rather than for those that make up Great Britain.,1,3,,And the fact that the queen herself remains tight-lipped when the song is sung shows clearly to me that it is really a song to be sung in honour of the majesty rather than for those that make up Great Britain.,1,3
"This time it was easier to find help, a protection agent that watched the videos called and asked her to download the video because by watching this videos the hunters will know easily where the nests are located.","This time it was easier to find help, and a protection agent that watched the videos called and asked her to remove the video because by watching it, the hunters would easily know where the nests were located.",1,2,,"This time it was easier to find help, a protection agent that watched the videos called and asked her to download the video because by watching this videos the hunters will know easily where the nests are located.",1,2
These days many women choose themselves to be out of the house and work rather than being a housewife and this social phenomenon is not temporary but will be increasing as a result of progressed gender equality.,"These days many women make an independen choice to be out of the house and working, rather than being a housewife. This social phenomenon is not temporary and will only increase as gender equality progresses. ",0,0,,"I couldn't fully trust them at first when they seemingly gave up struggling with me and told they will send a package on behalf of me, but it reached to my house just before I was back home.",0,1
"I just read the index section of this book, and now I feel this could be a life-changing book; because I feel like I have been sticking to a mediocre way to study, and it will definitely yield an adverse effect.","I have just read the index section of this book, and I feel this could be a life-changing book; because I feel I have been sticking to a mediocre way to study, and that will definitely yield an adverse effect.",0,1,,"People have their doubts deciphered by prophets: whether their beloved ones will be released from the suffer; when their debts could be paid back and how the terrible pestilence could be expelled, etc.",1,2
